epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,412.025,1.06885,1.84603,0.88654,0.00122,0.125,0.07353,0.06132,1.00453,4.35881,0.87637,0.000248349,0.000248349,0.000248349
59,419.103,1.14114,2.14245,0.9231,0.00122,0.125,0.07353,0.06132,1.00453,4.35881,0.87637,0.000246964,0.000246964,0.000246964
60,426.044,0.98913,1.86499,0.93353,0.00124,0.125,0.0831,0.07061,0.97497,4.29913,0.86832,0.000245381,0.000245381,0.000245381
61,432.974,1.04434,2.10948,0.97306,0.00124,0.125,0.0831,0.07061,0.97497,4.29913,0.86832,0.0002436,0.0002436,0.0002436
62,439.966,0.98597,1.93111,0.89964,0.00124,0.125,0.0831,0.07061,0.97497,4.29913,0.86832,0.000241621,0.000241621,0.000241621
63,446.908,1.00065,2.0389,0.93233,0.00167,0.16667,0.12397,0.10529,0.93431,4.22347,0.86221,0.000239444,0.000239444,0.000239444
64,453.902,1.06462,2.34171,0.88555,0.00167,0.16667,0.12397,0.10529,0.93431,4.22347,0.86221,0.000237069,0.000237069,0.000237069
65,460.957,0.95753,1.85114,0.92437,0.00167,0.16667,0.12397,0.10529,0.93431,4.22347,0.86221,0.000234496,0.000234496,0.000234496
66,467.964,1.02267,2.01576,0.92315,0.00167,0.16667,0.14043,0.1217,0.914,4.16063,0.85952,0.000231725,0.000231725,0.000231725
67,475.039,0.99686,1.78583,0.91115,0.00167,0.16667,0.14043,0.1217,0.914,4.16063,0.85952,0.000228756,0.000228756,0.000228756
68,482.131,0.9637,1.96419,0.90096,0.00167,0.16667,0.14043,0.1217,0.914,4.16063,0.85952,0.000225589,0.000225589,0.000225589
69,489.16,1.02527,1.79502,0.86684,0.00172,0.16667,0.16544,0.14073,0.89573,4.09202,0.85764,0.000222224,0.000222224,0.000222224
70,496.227,1.02093,1.96805,0.94,0.00172,0.16667,0.16544,0.14073,0.89573,4.09202,0.85764,0.000218661,0.000218661,0.000218661
